qid,docno,docid,score,rank,query
156493,6139386,6139386,3.0,0,do goldfish grow
156493,4940228,4940228,2.0,1,do goldfish grow
156493,2612492,2612492,2.0,2,do goldfish grow
156493,2928704,2928704,2.0,3,do goldfish grow
156493,2928702,2928702,2.0,4,do goldfish grow
156493,2928700,2928700,2.0,5,do goldfish grow
156493,2717163,2717163,2.0,6,do goldfish grow
156493,6139382,6139382,2.0,7,do goldfish grow
156493,6139383,6139383,2.0,8,do goldfish grow
156493,6139387,6139387,2.0,9,do goldfish grow
156493,6524746,6524746,2.0,10,do goldfish grow
156493,2616512,2616512,2.0,11,do goldfish grow
156493,26129,26129,2.0,12,do goldfish grow
156493,2612493,2612493,2.0,13,do goldfish grow
156493,2612491,2612491,2.0,14,do goldfish grow
156493,2928706,2928706,2.0,15,do goldfish grow
156493,2612490,2612490,2.0,16,do goldfish grow
156493,2612486,2612486,2.0,17,do goldfish grow
156493,6775071,6775071,2.0,18,do goldfish grow
156493,6983821,6983821,2.0,19,do goldfish grow
156493,2598787,2598787,2.0,20,do goldfish grow
156493,2598786,2598786,2.0,21,do goldfish grow
156493,2411918,2411918,2.0,22,do goldfish grow
156493,7055262,7055262,2.0,23,do goldfish grow
156493,7055263,7055263,2.0,24,do goldfish grow
156493,7104323,7104323,2.0,25,do goldfish grow
156493,7371077,7371077,2.0,26,do goldfish grow
156493,4131138,4131138,2.0,27,do goldfish grow
156493,5555919,5555919,2.0,28,do goldfish grow
156493,2928707,2928707,2.0,29,do goldfish grow
156493,7371078,7371078,2.0,30,do goldfish grow
156493,3288603,3288603,2.0,31,do goldfish grow
156493,3603923,3603923,2.0,32,do goldfish grow
156493,3603922,3603922,2.0,33,do goldfish grow
156493,3603920,3603920,2.0,34,do goldfish grow
156493,4527706,4527706,2.0,35,do goldfish grow
156493,349645,349645,2.0,36,do goldfish grow
156493,349643,349643,2.0,37,do goldfish grow
156493,4542584,4542584,2.0,38,do goldfish grow
156493,349641,349641,2.0,39,do goldfish grow
156493,349638,349638,2.0,40,do goldfish grow
156493,4583221,4583221,2.0,41,do goldfish grow
156493,1101607,1101607,2.0,42,do goldfish grow
156493,4940230,4940230,2.0,43,do goldfish grow
156493,3288601,3288601,2.0,44,do goldfish grow
156493,5530082,5530082,2.0,45,do goldfish grow
156493,3288600,3288600,2.0,46,do goldfish grow
156493,3288599,3288599,2.0,47,do goldfish grow
156493,3288598,3288598,2.0,48,do goldfish grow
156493,3288597,3288597,2.0,49,do goldfish grow
156493,3288596,3288596,2.0,50,do goldfish grow
156493,3288595,3288595,2.0,51,do goldfish grow
156493,316872,316872,2.0,52,do goldfish grow
156493,4940234,4940234,2.0,53,do goldfish grow
156493,2949802,2949802,2.0,54,do goldfish grow
156493,2949801,2949801,2.0,55,do goldfish grow
156493,5009743,5009743,2.0,56,do goldfish grow
156493,5346660,5346660,2.0,57,do goldfish grow
156493,2317807,2317807,2.0,58,do goldfish grow
156493,2317808,2317808,2.0,59,do goldfish grow
156493,2317802,2317802,2.0,60,do goldfish grow
156493,95515,95515,2.0,61,do goldfish grow
156493,2317800,2317800,2.0,62,do goldfish grow
156493,1861642,1861642,2.0,63,do goldfish grow
156493,1861640,1861640,2.0,64,do goldfish grow
156493,8803136,8803136,2.0,65,do goldfish grow
156493,8820525,8820525,2.0,66,do goldfish grow
156493,8820526,8820526,2.0,67,do goldfish grow
156493,885944,885944,2.0,68,do goldfish grow
156493,911794,911794,2.0,69,do goldfish grow
156493,95512,95512,2.0,70,do goldfish grow
