qid,docno,docid,score,rank,query
156493,994488,994488,3.0,0,do goldfish grow
156493,349642,349642,3.0,1,do goldfish grow
156493,6524741,6524741,3.0,2,do goldfish grow
156493,6492047,6492047,3.0,3,do goldfish grow
156493,6471884,6471884,3.0,4,do goldfish grow
156493,3370619,3370619,3.0,5,do goldfish grow
156493,3403643,3403643,3.0,6,do goldfish grow
156493,349637,349637,3.0,7,do goldfish grow
156493,6465956,6465956,3.0,8,do goldfish grow
156493,6464089,6464089,3.0,9,do goldfish grow
156493,6456917,6456917,3.0,10,do goldfish grow
156493,5555924,5555924,3.0,11,do goldfish grow
156493,6456916,6456916,3.0,12,do goldfish grow
156493,349646,349646,3.0,13,do goldfish grow
156493,6456910,6456910,3.0,14,do goldfish grow
156493,6343401,6343401,3.0,15,do goldfish grow
156493,3635703,3635703,3.0,16,do goldfish grow
156493,3732381,3732381,3.0,17,do goldfish grow
156493,3985474,3985474,3.0,18,do goldfish grow
156493,4131137,4131137,3.0,19,do goldfish grow
156493,6536125,6536125,3.0,20,do goldfish grow
156493,6536126,6536126,3.0,21,do goldfish grow
156493,6595537,6595537,3.0,22,do goldfish grow
156493,6669867,6669867,3.0,23,do goldfish grow
156493,6983825,6983825,3.0,24,do goldfish grow
156493,6983822,6983822,3.0,25,do goldfish grow
156493,6983820,6983820,3.0,26,do goldfish grow
156493,6983817,6983817,3.0,27,do goldfish grow
156493,6859028,6859028,3.0,28,do goldfish grow
156493,6859027,6859027,3.0,29,do goldfish grow
156493,293048,293048,3.0,30,do goldfish grow
156493,293050,293050,3.0,31,do goldfish grow
156493,2940587,2940587,3.0,32,do goldfish grow
156493,2940589,2940589,3.0,33,do goldfish grow
156493,2944740,2944740,3.0,34,do goldfish grow
156493,2949797,2949797,3.0,35,do goldfish grow
156493,6859026,6859026,3.0,36,do goldfish grow
156493,6859023,6859023,3.0,37,do goldfish grow
156493,3015801,3015801,3.0,38,do goldfish grow
156493,6775079,6775079,3.0,39,do goldfish grow
156493,6748164,6748164,3.0,40,do goldfish grow
156493,6302722,6302722,3.0,41,do goldfish grow
156493,4164310,4164310,3.0,42,do goldfish grow
156493,4264246,4264246,3.0,43,do goldfish grow
156493,6139380,6139380,3.0,44,do goldfish grow
156493,4940231,4940231,3.0,45,do goldfish grow
156493,59106,59106,3.0,46,do goldfish grow
156493,5009742,5009742,3.0,47,do goldfish grow
156493,5877552,5877552,3.0,48,do goldfish grow
156493,5009744,5009744,3.0,49,do goldfish grow
156493,5022716,5022716,3.0,50,do goldfish grow
156493,5834209,5834209,3.0,51,do goldfish grow
156493,5122743,5122743,3.0,52,do goldfish grow
156493,5202973,5202973,3.0,53,do goldfish grow
156493,5346658,5346658,3.0,54,do goldfish grow
156493,5834207,5834207,3.0,55,do goldfish grow
156493,5434666,5434666,3.0,56,do goldfish grow
156493,5479185,5479185,3.0,57,do goldfish grow
156493,5718745,5718745,3.0,58,do goldfish grow
156493,5530080,5530080,3.0,59,do goldfish grow
156493,5694167,5694167,3.0,60,do goldfish grow
156493,5549994,5549994,3.0,61,do goldfish grow
156493,6092036,6092036,3.0,62,do goldfish grow
156493,490166,490166,3.0,63,do goldfish grow
156493,4311054,4311054,3.0,64,do goldfish grow
156493,4800899,4800899,3.0,65,do goldfish grow
156493,4367826,4367826,3.0,66,do goldfish grow
156493,627307,627307,3.0,67,do goldfish grow
156493,4380944,4380944,3.0,68,do goldfish grow
156493,4396055,4396055,3.0,69,do goldfish grow
156493,4400818,4400818,3.0,70,do goldfish grow
156493,4454107,4454107,3.0,71,do goldfish grow
156493,627302,627302,3.0,72,do goldfish grow
156493,4527708,4527708,3.0,73,do goldfish grow
156493,4527709,4527709,3.0,74,do goldfish grow
156493,6165998,6165998,3.0,75,do goldfish grow
156493,4571844,4571844,3.0,76,do goldfish grow
156493,6152109,6152109,3.0,77,do goldfish grow
156493,4588174,4588174,3.0,78,do goldfish grow
156493,4588177,4588177,3.0,79,do goldfish grow
156493,4623707,4623707,3.0,80,do goldfish grow
156493,4623709,4623709,3.0,81,do goldfish grow
156493,4623711,4623711,3.0,82,do goldfish grow
156493,7032937,7032937,3.0,83,do goldfish grow
156493,7032938,7032938,3.0,84,do goldfish grow
156493,2708307,2708307,3.0,85,do goldfish grow
156493,1685650,1685650,3.0,86,do goldfish grow
156493,1820469,1820469,3.0,87,do goldfish grow
156493,8440633,8440633,3.0,88,do goldfish grow
156493,1861641,1861641,3.0,89,do goldfish grow
156493,8432080,8432080,3.0,90,do goldfish grow
156493,1861645,1861645,3.0,91,do goldfish grow
156493,1939297,1939297,3.0,92,do goldfish grow
156493,1939301,1939301,3.0,93,do goldfish grow
156493,1939302,1939302,3.0,94,do goldfish grow
156493,1960253,1960253,3.0,95,do goldfish grow
156493,8376847,8376847,3.0,96,do goldfish grow
156493,8376842,8376842,3.0,97,do goldfish grow
156493,8300113,8300113,3.0,98,do goldfish grow
156493,8300112,8300112,3.0,99,do goldfish grow
156493,8300106,8300106,3.0,100,do goldfish grow
156493,8277657,8277657,3.0,101,do goldfish grow
156493,8273018,8273018,3.0,102,do goldfish grow
156493,1979598,1979598,3.0,103,do goldfish grow
156493,1788797,1788797,3.0,104,do goldfish grow
156493,1583800,1583800,3.0,105,do goldfish grow
156493,8266015,8266015,3.0,106,do goldfish grow
156493,1464632,1464632,3.0,107,do goldfish grow
156493,1113693,1113693,3.0,108,do goldfish grow
156493,1171591,1171591,3.0,109,do goldfish grow
156493,117188,117188,3.0,110,do goldfish grow
156493,1172283,1172283,3.0,111,do goldfish grow
156493,1172287,1172287,3.0,112,do goldfish grow
156493,994482,994482,3.0,113,do goldfish grow
156493,935827,935827,3.0,114,do goldfish grow
156493,911791,911791,3.0,115,do goldfish grow
156493,89620,89620,3.0,116,do goldfish grow
156493,892005,892005,3.0,117,do goldfish grow
156493,8725862,8725862,3.0,118,do goldfish grow
156493,8725860,8725860,3.0,119,do goldfish grow
156493,8725859,8725859,3.0,120,do goldfish grow
156493,1321883,1321883,3.0,121,do goldfish grow
156493,1341656,1341656,3.0,122,do goldfish grow
156493,8725858,8725858,3.0,123,do goldfish grow
156493,8697904,8697904,3.0,124,do goldfish grow
156493,2708305,2708305,3.0,125,do goldfish grow
156493,2115154,2115154,3.0,126,do goldfish grow
156493,2141938,2141938,3.0,127,do goldfish grow
156493,2373354,2373354,3.0,128,do goldfish grow
156493,7566876,7566876,3.0,129,do goldfish grow
156493,7529423,7529423,3.0,130,do goldfish grow
156493,7529416,7529416,3.0,131,do goldfish grow
156493,7508919,7508919,3.0,132,do goldfish grow
156493,2598792,2598792,3.0,133,do goldfish grow
156493,26121,26121,3.0,134,do goldfish grow
156493,750106,750106,3.0,135,do goldfish grow
156493,7399606,7399606,3.0,136,do goldfish grow
156493,7371075,7371075,3.0,137,do goldfish grow
156493,7346937,7346937,3.0,138,do goldfish grow
156493,713983,713983,3.0,139,do goldfish grow
156493,7112226,7112226,3.0,140,do goldfish grow
156493,7076186,7076186,3.0,141,do goldfish grow
156493,2616514,2616514,3.0,142,do goldfish grow
156493,2616515,2616515,3.0,143,do goldfish grow
156493,2659082,2659082,3.0,144,do goldfish grow
156493,7076180,7076180,3.0,145,do goldfish grow
156493,2154542,2154542,3.0,146,do goldfish grow
156493,2403231,2403231,3.0,147,do goldfish grow
156493,2361987,2361987,3.0,148,do goldfish grow
156493,7976153,7976153,3.0,149,do goldfish grow
156493,2154543,2154543,3.0,150,do goldfish grow
156493,2154545,2154545,3.0,151,do goldfish grow
156493,2154550,2154550,3.0,152,do goldfish grow
156493,2225587,2225587,3.0,153,do goldfish grow
156493,8245441,8245441,3.0,154,do goldfish grow
156493,2236390,2236390,3.0,155,do goldfish grow
156493,8245439,8245439,3.0,156,do goldfish grow
156493,7580418,7580418,3.0,157,do goldfish grow
156493,8029436,8029436,3.0,158,do goldfish grow
156493,7768645,7768645,3.0,159,do goldfish grow
156493,2259184,2259184,3.0,160,do goldfish grow
156493,2259185,2259185,3.0,161,do goldfish grow
156493,7760653,7760653,3.0,162,do goldfish grow
156493,7663267,7663267,3.0,163,do goldfish grow
156493,2317803,2317803,3.0,164,do goldfish grow
156493,7610587,7610587,3.0,165,do goldfish grow
156493,5640843,5640843,3.0,166,do goldfish grow
156493,95517,95517,2.0,167,do goldfish grow
156493,5752572,5752572,2.0,168,do goldfish grow
156493,6357270,6357270,2.0,169,do goldfish grow
156493,8725855,8725855,2.0,170,do goldfish grow
156493,1034435,1034435,2.0,171,do goldfish grow
156493,1960254,1960254,2.0,172,do goldfish grow
156493,5506858,5506858,2.0,173,do goldfish grow
156493,5437919,5437919,2.0,174,do goldfish grow
156493,1960256,1960256,2.0,175,do goldfish grow
156493,5022725,5022725,2.0,176,do goldfish grow
156493,2403232,2403232,2.0,177,do goldfish grow
156493,2928705,2928705,2.0,178,do goldfish grow
156493,2708304,2708304,2.0,179,do goldfish grow
156493,1420608,1420608,2.0,180,do goldfish grow
156493,2717165,2717165,2.0,181,do goldfish grow
156493,1347264,1347264,2.0,182,do goldfish grow
156493,8273011,8273011,1.0,183,do goldfish grow
156493,2123395,2123395,1.0,184,do goldfish grow
156493,8266017,8266017,1.0,185,do goldfish grow
156493,8273017,8273017,1.0,186,do goldfish grow
156493,8273013,8273013,1.0,187,do goldfish grow
156493,8273015,8273015,1.0,188,do goldfish grow
156493,1960261,1960261,1.0,189,do goldfish grow
156493,8273019,8273019,1.0,190,do goldfish grow
156493,8245444,8245444,1.0,191,do goldfish grow
156493,2259179,2259179,1.0,192,do goldfish grow
156493,2236388,2236388,1.0,193,do goldfish grow
156493,1960259,1960259,1.0,194,do goldfish grow
156493,8182166,8182166,1.0,195,do goldfish grow
156493,8182165,8182165,1.0,196,do goldfish grow
156493,8182162,8182162,1.0,197,do goldfish grow
156493,8182161,8182161,1.0,198,do goldfish grow
156493,8182160,8182160,1.0,199,do goldfish grow
156493,8182159,8182159,1.0,200,do goldfish grow
156493,2259180,2259180,1.0,201,do goldfish grow
156493,8029433,8029433,1.0,202,do goldfish grow
156493,2259182,2259182,1.0,203,do goldfish grow
156493,2259183,2259183,1.0,204,do goldfish grow
156493,2317800,2317800,1.0,205,do goldfish grow
156493,2317802,2317802,1.0,206,do goldfish grow
156493,2317807,2317807,1.0,207,do goldfish grow
156493,1960260,1960260,1.0,208,do goldfish grow
156493,5555919,5555919,1.0,209,do goldfish grow
156493,1960257,1960257,1.0,210,do goldfish grow
156493,1277723,1277723,1.0,211,do goldfish grow
156493,994486,994486,1.0,212,do goldfish grow
156493,1277720,1277720,1.0,213,do goldfish grow
156493,95521,95521,1.0,214,do goldfish grow
156493,95519,95519,1.0,215,do goldfish grow
156493,95518,95518,1.0,216,do goldfish grow
156493,1277721,1277721,1.0,217,do goldfish grow
156493,95515,95515,1.0,218,do goldfish grow
156493,95514,95514,1.0,219,do goldfish grow
156493,95513,95513,1.0,220,do goldfish grow
156493,95512,95512,1.0,221,do goldfish grow
156493,1277722,1277722,1.0,222,do goldfish grow
156493,911794,911794,1.0,223,do goldfish grow
156493,1277724,1277724,1.0,224,do goldfish grow
156493,1960255,1960255,1.0,225,do goldfish grow
156493,1277725,1277725,1.0,226,do goldfish grow
156493,885944,885944,1.0,227,do goldfish grow
156493,8820526,8820526,1.0,228,do goldfish grow
156493,8820525,8820525,1.0,229,do goldfish grow
