qid,docid,docno,rank,score,query
1037798,8760871,8760871,0,25.21518898010254,who is robert gray
1037798,7822415,7822415,1,23.798912048339844,who is robert gray
1037798,8760866,8760866,2,23.7094841003418,who is robert gray
1037798,2360252,2360252,3,23.1744441986084,who is robert gray
1037798,3914692,3914692,4,23.09113502502441,who is robert gray
1037798,7604812,7604812,5,22.972654342651367,who is robert gray
1037798,2787508,2787508,6,22.69631576538086,who is robert gray
1037798,8760867,8760867,7,22.66638946533203,who is robert gray
1037798,7967207,7967207,8,22.65083312988281,who is robert gray
1037798,2360245,2360245,9,22.473926544189453,who is robert gray
1037798,2608688,2608688,10,22.350971221923828,who is robert gray
1037798,3620986,3620986,11,22.24770736694336,who is robert gray
1037798,7505181,7505181,12,22.098411560058597,who is robert gray
1037798,8780801,8780801,13,22.038930892944336,who is robert gray
1037798,8780802,8780802,14,21.91677474975586,who is robert gray
1037798,2157450,2157450,15,21.684898376464844,who is robert gray
1037798,3353333,3353333,16,21.65907096862793,who is robert gray
1037798,6578676,6578676,17,21.583675384521484,who is robert gray
1037798,6792682,6792682,18,21.51217269897461,who is robert gray
1037798,994978,994978,19,21.44214630126953,who is robert gray
1037798,3592916,3592916,20,21.434276580810547,who is robert gray
1037798,4188834,4188834,21,21.37549591064453,who is robert gray
1037798,7505178,7505178,22,21.35771942138672,who is robert gray
1037798,3620983,3620983,23,21.33540344238281,who is robert gray
1037798,6966724,6966724,24,21.27556037902832,who is robert gray
1037798,3620991,3620991,25,21.21036148071289,who is robert gray
1037798,8780810,8780810,26,21.208688735961918,who is robert gray
1037798,2803574,2803574,27,21.19261741638184,who is robert gray
1037798,2803567,2803567,28,21.189434051513672,who is robert gray
1037798,13689,13689,29,21.147727966308597,who is robert gray
1037798,2658433,2658433,30,21.096004486083984,who is robert gray
1037798,4055265,4055265,31,21.07467269897461,who is robert gray
1037798,2258763,2258763,32,21.05676651000977,who is robert gray
1037798,3353327,3353327,33,21.05282974243164,who is robert gray
1037798,2970891,2970891,34,21.04530334472656,who is robert gray
1037798,3641634,3641634,35,21.03443145751953,who is robert gray
1037798,3353331,3353331,36,20.992572784423828,who is robert gray
1037798,7505175,7505175,37,20.96220016479492,who is robert gray
1037798,3077997,3077997,38,20.91095733642578,who is robert gray
1037798,2360247,2360247,39,20.87910461425781,who is robert gray
1037798,8780809,8780809,40,20.87477302551269,who is robert gray
1037798,6578675,6578675,41,20.842172622680664,who is robert gray
1037798,5523765,5523765,42,20.80593490600586,who is robert gray
1037798,7723693,7723693,43,20.760860443115234,who is robert gray
1037798,4188832,4188832,44,20.75933265686035,who is robert gray
1037798,2658425,2658425,45,20.754261016845703,who is robert gray
1037798,104285,104285,46,20.753868103027344,who is robert gray
1037798,671988,671988,47,20.72512435913086,who is robert gray
1037798,2970897,2970897,48,20.67971420288086,who is robert gray
1037798,4188831,4188831,49,20.67795181274414,who is robert gray
1037798,3730155,3730155,50,20.652019500732425,who is robert gray
1037798,8780808,8780808,51,20.60431671142578,who is robert gray
1037798,2258765,2258765,52,20.58629608154297,who is robert gray
1037798,1329503,1329503,53,20.56167221069336,who is robert gray
